i,raw_vocab,category,decoded,metrics,main_metric,metric_names,main_metric_name,verification,max_prob,magic,reencoded_ids,reencoded,model
970,There,OK,There,"[53.15335, 134.871867, 290.828889]",53.15335,,,"[0.9701818181818295, 0.9221818181818281, 0.9280000000000102]",0.9701818181818295,strong_verified,,,sup-simcse-roberta-base
2909,Ġhappening,OK, happening,"[37.741825, 96.667422, 222.148527]",37.741825,,,"[0.9625454545454657, 0.912363636363646, 0.9312727272727375]",0.9625454545454657,strong_verified,,,sup-simcse-roberta-base
5514,ÂŃ,OK,­,"[40.057965, 76.410458, 212.606462]",40.057965,,,"[0.9814545454545571, 0.9538181818181927, 0.9494545454545562]",0.9814545454545571,strong_verified,,,sup-simcse-roberta-base
8585,there,OK,there,"[48.882037, 124.002737, 299.892931]",48.882037,,,"[0.971636363636375, 0.9461818181818288, 0.9523636363636472]",0.971636363636375,strong_verified,,,sup-simcse-roberta-base
18231,ĠÂŃ,OK, ­,"[41.269299, 29.63709, 149.053049]",41.269299,,,"[0.9676363636363748, 0.8901818181818272, 0.8767272727272813]",0.9676363636363748,strong_verified,,,sup-simcse-roberta-base
21838,.],OK,.],"[35.304739, 117.525389, 241.498247]",35.304739,,,"[0.954181818181829, 0.8683636363636448, 0.8723636363636449]",0.954181818181829,strong_verified,,,sup-simcse-roberta-base
24922,.âĢĶ,OK,.—,"[40.359623, 134.752594, 292.322663]",40.359623,,,"[0.962909090909102, 0.8978181818181911, 0.8992727272727365]",0.962909090909102,strong_verified,,,sup-simcse-roberta-base
26131,ĠNotably,OK, Notably,"[34.126577, 66.093003, 183.522182]",34.126577,,,"[0.9621818181818292, 0.926909090909101, 0.9290909090909193]",0.9621818181818292,strong_verified,,,sup-simcse-roberta-base
27779,Ġ],OK, ],"[34.696234, 137.544476, 279.198528]",34.696234,,,"[0.9585454545454656, 0.8927272727272818, 0.9065454545454641]",0.9585454545454656,strong_verified,,,sup-simcse-roberta-base
28842,ĠTHERE,OK, THERE,"[47.91621, 69.6893, 162.065317]",47.91621,,,"[0.9527272727272835, 0.9185454545454644, 0.9178181818181916]",0.9527272727272835,strong_verified,,,sup-simcse-roberta-base
30902,âĢİ,OK,‎,"[38.607334, 112.251298, 226.228283]",38.607334,,,"[0.9654545454545567, 0.8836363636363725, 0.8909090909091]",0.9654545454545567,strong_verified,,,sup-simcse-roberta-base
39391,ĠEdit,OK, Edit,"[47.064593, 115.24324, 294.179898]",47.064593,,,"[0.9632727272727384, 0.939636363636374, 0.9309090909091011]",0.9632727272727384,strong_verified,,,sup-simcse-roberta-base
39497,âĢĲ,OK,‐,"[34.220805, 125.267586, 281.566508]",34.220805,,,"[0.9527272727272835, 0.9109090909091005, 0.9134545454545552]",0.9527272727272835,strong_verified,,,sup-simcse-roberta-base
41657,âĢĵâĢĵ,OK,––,"[41.73168, 114.145289, 253.136509]",41.73168,,,"[0.9501818181818289, 0.9098181818181914, 0.902545454545464]",0.9501818181818289,strong_verified,,,sup-simcse-roberta-base
42736,ĠâĪĴ,OK, −,"[30.055036, 59.261745, 184.453439]",30.055036,,,"[0.9625454545454657, 0.9341818181818284, 0.9301818181818283]",0.9625454545454657,strong_verified,,,sup-simcse-roberta-base
44763,Ġï¿½,OK, �,"[39.717707, 8.695385, 23.431298]",39.717707,,,"[0.9610909090909201, 0.8658181818181901, 0.8614545454545537]",0.9610909090909201,strong_verified,,,sup-simcse-roberta-base
