sentence-t5-base,gte-base-en-v1.5,bge-base-en-v1.5,instructor-base,e5-base,sup-simcse-bert-base-uncased,all-mpnet-base-v2,UAE-Large-V1
0.763,0.3984,0.528,0.8447,0.7617,0.4082,0.4622,0.609
0.7827,0.1661,0.4065,0.8403,0.799,0.77,0.2085,0.4858
0.806,0.4475,0.4434,0.8467,0.7334,0.4966,0.0986,0.4895
0.7847,0.2437,0.435,0.8574,0.767,0.7295,0.1782,0.517
0.7935,0.622,0.5166,0.8315,0.683,0.5674,0.17,0.488
0.7847,0.3137,0.4907,0.846,0.742,0.5054,0.2194,0.6064
0.8037,0.326,0.604,0.8647,0.7456,0.5728,0.1554,0.4316
0.79,0.3186,0.502,0.8027,0.8193,0.806,0.3284,0.476
0.8213,0.397,0.4983,0.8037,0.7207,0.4446,0.1755,0.5444
0.781,0.4248,0.5464,0.851,0.7417,0.4766,0.2644,0.475
0.756,0.4102,0.506,0.8545,0.807,0.79,0.1968,0.4287
0.7656,0.426,0.481,0.822,0.728,0.478,0.0927,0.572
0.8364,0.3035,0.51,0.8228,0.734,0.579,0.2664,0.4563
0.809,0.4595,0.562,0.82,0.824,0.5977,0.0665,0.5215
0.804,0.4067,0.4546,0.8296,0.678,0.597,0.2375,0.574
0.8486,0.3472,0.5576,0.8877,0.6855,0.3867,0.193,0.4705
0.765,0.3945,0.5674,0.8013,1.0,0.654,0.2067,0.4812
0.8447,0.3662,0.537,0.828,0.829,0.5977,0.3171,0.4941
0.8086,0.3528,0.504,0.825,0.8403,0.7896,0.1692,0.467
0.807,0.3674,0.3958,0.845,0.7354,0.5366,0.2252,0.4048
0.7666,0.3557,0.5054,0.8335,0.703,0.4854,0.11334,0.521
0.8022,0.3103,0.4834,0.818,0.712,0.7637,0.3418,0.6084
0.787,0.299,0.51,0.853,0.703,0.528,0.2275,0.424
0.8164,0.4497,0.561,0.884,0.8066,0.4746,0.1126,0.5317
0.8306,0.2391,0.4758,0.847,0.7266,0.8047,0.267,0.536
0.8184,0.4136,0.5986,0.8105,0.733,0.5894,0.2345,0.594
0.8076,0.369,0.608,0.832,0.7153,0.582,0.12415,0.4739
0.7827,0.3608,0.5483,0.829,0.769,0.5703,0.175,0.565
0.8047,0.3042,0.567,0.8325,0.686,0.697,0.3923,0.5073
0.7944,0.4065,0.4263,0.8345,0.7124,0.6436,0.2832,0.5054
0.781,0.397,0.557,0.83,0.695,0.6133,0.08234,0.4324
0.792,0.473,0.504,0.874,0.7495,0.5527,0.167,0.47
0.7993,0.4038,0.509,0.78,0.771,0.484,0.1731,0.6133
0.7686,0.3599,0.4539,0.8213,0.7563,0.468,0.153,0.47
0.7856,0.2705,0.485,0.8135,0.675,0.4292,0.0913,0.4602
0.8135,0.3108,0.5957,0.824,0.794,0.52,0.5234,0.4724
